timestamp,open,high,low,close,volume
6/4/2021 11:20,147,147,146.78,146.8119,35837
6/4/2021 11:15,146.94,147.1129,146.94,147,68294
6/4/2021 11:10,146.865,146.97,146.86,146.93,30352
6/4/2021 11:05,146.76,146.87,146.74,146.8478,23344
6/4/2021 11:00,146.72,146.79,146.6,146.75,29606
6/4/2021 10:55,146.65,146.76,146.65,146.72,26784
6/4/2021 10:50,146.4916,146.65,146.47,146.64,29784
6/4/2021 10:45,146.45,146.6,146.4157,146.4701,43192
6/4/2021 10:40,146.49,146.574,146.45,146.45,32827
6/4/2021 10:35,146.38,146.53,146.36,146.4939,26263
6/4/2021 10:30,146.29,146.48,146.29,146.38,27536
6/4/2021 10:25,146.44,146.46,146.28,146.31,29936
6/4/2021 10:20,146.55,146.62,146.4,146.4301,30376
6/4/2021 10:15,146.44,146.64,146.4,146.5401,42926
6/4/2021 10:10,146.23,146.44,146.221,146.4241,27254
6/4/2021 10:05,146.25,146.43,146.19,146.22,35546
6/4/2021 10:00,146.11,146.265,146.088,146.255,26548
6/4/2021 9:55,146.35,146.36,146.11,146.13,36193
6/4/2021 9:50,146.35,146.5,146.24,146.34,28962
6/4/2021 9:45,146.25,146.57,146.16,146.41,66436
6/4/2021 9:40,145.8,146.38,145.8,146.2557,76265
6/4/2021 9:35,146,146.14,145.76,145.81,156795
6/4/2021 9:05,145.5,145.51,145.5,145.51,502
6/4/2021 8:45,145.38,145.38,145.38,145.38,100
6/4/2021 8:40,145.65,145.65,145.65,145.65,102
6/4/2021 8:35,145.48,145.65,145.48,145.65,1803
6/4/2021 8:05,144.661,144.661,144.661,144.661,227
6/4/2021 4:50,145.55,145.55,145.55,145.55,206
6/3/2021 18:20,144.5701,144.5701,144.5701,144.5701,100
6/3/2021 16:10,145.55,145.55,145.55,145.55,102
6/3/2021 16:05,145.55,145.55,144.9686,145.55,660063
6/3/2021 16:00,145.59,145.69,145.54,145.55,231997
6/3/2021 15:55,145.49,145.63,145.46,145.58,122646
6/3/2021 15:50,145.665,145.665,145.46,145.5,95908
6/3/2021 15:45,145.74,145.8,145.65,145.665,61512
